Year-Month,ZIP CODE,Median Sales
2018-12,11216.0,987499.5
2018-12,11217.0,1492500.0
2018-12,11218.0,1175000.0
2018-12,11219.0,1177500.0
2018-12,11220.0,999000.0
2018-12,11221.0,915407.0
2018-12,11222.0,875000.0
2018-12,11223.0,994500.0
2018-12,11224.0,520000.0
2018-12,11225.0,738231.0
2018-12,11226.0,757500.0
2018-12,11228.0,948000.0
2018-12,11229.0,470000.0
2018-12,11230.0,1175000.0
2018-12,11231.0,2247500.0
2018-12,11232.0,1417500.0
2018-12,11233.0,975000.0
2018-12,11234.0,697000.0
2018-12,11235.0,562500.0
2018-12,11236.0,567500.0
2018-12,11237.0,962750.0
2018-12,11238.0,1100000.0
2018-12,11249.0,999000.0
2018-12,11354.0,505000.0
2018-12,11355.0,554832.0
2018-12,11356.0,860000.0
2018-12,11357.0,910000.0
2018-12,11358.0,770000.0
2018-12,11360.0,535000.0
2018-12,11361.0,805000.0
2018-12,11362.0,515000.0
2018-12,11363.0,682500.0
2018-12,11364.0,722500.0
2018-12,11365.0,825000.0
2018-12,11366.0,861000.0
2018-12,11367.0,313500.0
2018-12,11368.0,685000.0
2018-12,11369.0,560000.0
2018-12,11370.0,655000.0
2018-12,11372.0,377500.0
2018-12,11373.0,628000.0
2018-12,11374.0,492000.0
2018-12,11375.0,429000.0
2018-12,11377.0,886500.0
2018-12,11378.0,725000.0
2018-12,11379.0,854000.0
2018-12,11385.0,670000.0
2018-12,11411.0,510000.0
2018-12,11412.0,450000.0
2018-12,11413.0,495000.0
2018-12,11414.0,299999.0
2018-12,11415.0,326500.0
2018-12,11416.0,661485.5
2018-12,11417.0,555500.0
2018-12,11418.0,675000.0
2018-12,11419.0,590000.0
2018-12,11420.0,580000.0
2018-12,11421.0,695000.0
2018-12,11422.0,539900.0
2018-12,11423.0,605000.0
2018-12,11426.0,585000.0
2018-12,11427.0,617000.0
2018-12,11428.0,571750.0
2018-12,11429.0,528500.0
2018-12,11432.0,710000.0
2018-12,11433.0,462000.0
2018-12,11434.0,510000.0
2018-12,11435.0,264000.0
2018-12,11436.0,504350.0
2018-12,11691.0,500629.0
2018-12,11692.0,590000.0
2018-12,11693.0,323500.0
2018-12,11694.0,600000.0
2018-12,11697.0,324500.0
2019-01,10001.0,1513688.0
2019-01,10002.0,1237906.5
2019-01,10003.0,1825000.0
2019-01,10004.0,850000.0
2019-01,10005.0,1348500.0
2019-01,10006.0,1085465.0
2019-01,10007.0,4400000.0
2019-01,10009.0,438000.0
2019-01,10010.0,840000.0
2019-01,10011.0,1100000.0
2019-01,10012.0,3609828.0
2019-01,10013.0,4072000.0
2019-01,10014.0,975000.0
2019-01,10016.0,860000.0
2019-01,10017.0,765000.0
2019-01,10018.0,2650000.0
2019-01,10019.0,1140500.0
2019-01,10021.0,810000.0
2019-01,10022.0,1425000.0
2019-01,10023.0,999000.0
2019-01,10024.0,1120155.5
2019-01,10025.0,895000.0
2019-01,10026.0,700000.0
2019-01,10027.0,1118250.0
2019-01,10028.0,946990.0
2019-01,10029.0,1286500.0
2019-01,10030.0,1790000.0
2019-01,10031.0,610000.0
2019-01,10032.0,460500.0
2019-01,10033.0,450000.0
2019-01,10034.0,399500.0
2019-01,10035.0,589000.0
2019-01,10036.0,1100000.0
2019-01,10037.0,490000.0
2019-01,10038.0,1154750.0
2019-01,10039.0,439000.0
2019-01,10040.0,463000.0
2019-01,10044.0,524728.0
2019-01,10065.0,1545000.0
2019-01,10069.0,1350000.0
2019-01,10075.0,864500.0
2019-01,10105.0,24275000.0
2019-01,10128.0,795000.0
2019-01,10280.0,940500.0
2019-01,10301.0,465000.0
2019-01,10302.0,472770.5
2019-01,10303.0,395160.0
2019-01,10304.0,500000.0
2019-01,10305.0,572500.0
2019-01,10306.0,547450.0
2019-01,10307.0,450000.0
2019-01,10308.0,525000.0
2019-01,10309.0,649624.0
2019-01,10310.0,453124.0
2019-01,10312.0,581250.0
2019-01,10314.0,481500.0
2019-01,10451.0,300250.0
2019-01,10452.0,435000.0
2019-01,10453.0,465000.0
2019-01,10454.0,678500.0
2019-01,10455.0,613500.0
2019-01,10456.0,407500.0
2019-01,10457.0,685000.0
2019-01,10458.0,1500000.0
2019-01,10459.0,525000.0
2019-01,10460.0,700000.0
