Year-Month,zip,Median Sales
2003-5,10278,594950.0
2003-5,10280,300000.0
2003-5,10468,272000.0
2003-5,11201,491925.5
2003-5,11204,281500.0
2003-5,11205,220056.5
2003-5,11209,158500.0
2003-5,11210,122940.0
2003-5,11211,285000.0
2003-5,11213,269000.0
2003-5,11214,125308.0
2003-5,11215,310500.0
2003-5,11217,353886.0
2003-5,11218,288990.0
2003-5,11219,334310.0
2003-5,11220,215000.0
2003-5,11223,160500.0
2003-5,11224,239075.0
2003-5,11225,129562.5
2003-5,11226,217500.0
2003-5,11228,265000.0
2003-5,11229,116000.0
2003-5,11230,135000.0
2003-5,11231,283000.0
2003-5,11235,339690.0
2003-5,11236,198750.0
2003-5,11238,236000.0
2003-6,10001,739000.0
2003-6,10002,295000.0
2003-6,10003,428800.0
2003-6,10005,240000.0
2003-6,10007,962500.0
2003-6,10009,365000.0
2003-6,10011,465000.0
2003-6,10012,1045000.0
2003-6,10013,1037000.0
2003-6,10014,312500.0
2003-6,10016,375000.0
2003-6,10017,370000.0
2003-6,10018,297310.0
2003-6,10019,499999.0
2003-6,10020,295000.0
2003-6,10021,590000.0
2003-6,10022,450000.0
2003-6,10023,528217.5
2003-6,10024,379810.0
2003-6,10025,520000.0
2003-6,10026,247730.0
2003-6,10027,175000.0
2003-6,10028,627500.0
2003-6,10029,710000.0
2003-6,10030,344760.0
2003-6,10031,150000.0
2003-6,10032,265000.0
2003-6,10034,257000.0
2003-6,10038,329550.0
2003-6,10044,418477.5
2003-6,10065,625000.0
2003-6,10069,590000.0
2003-6,10103,1247045.0
2003-6,10110,425000.0
2003-6,10111,1750000.0
2003-6,10119,870000.0
2003-6,10153,512425.0
2003-6,10154,1323725.0
2003-6,10162,585000.0
2003-6,10167,365000.0
2003-6,10171,507500.0
2003-6,10199,435000.0
2003-6,10271,265000.0
2003-6,10278,1204225.5
2003-6,10280,371500.0
2003-6,10468,275000.0
2003-6,11201,445000.0
2003-6,11204,254000.0
2003-6,11205,253500.0
2003-6,11206,288990.0
2003-6,11209,180000.0
2003-6,11210,127839.0
2003-6,11211,280000.0
2003-6,11214,290000.0
2003-6,11215,385000.0
2003-6,11217,390000.0
2003-6,11218,288515.0
2003-6,11219,300000.0
2003-6,11220,274965.0
2003-6,11221,380000.0
2003-6,11223,140749.0
2003-6,11224,263640.0
2003-6,11228,167500.0
2003-6,11229,125000.0
2003-6,11230,141000.0
2003-6,11231,340000.0
2003-6,11233,400000.0
2003-6,11235,177500.0
2003-6,11236,225000.0
2003-6,11238,196000.0
2003-7,10001,805135.0
2003-7,10002,299000.0
2003-7,10003,490000.0
2003-7,10007,837500.0
2003-7,10009,460000.0
2003-7,10011,517450.0
2003-7,10012,445000.0
2003-7,10013,999000.0
2003-7,10014,450000.0
2003-7,10016,291000.0
2003-7,10017,382790.0
2003-7,10018,383912.5
2003-7,10019,558500.0
2003-7,10020,302500.0
2003-7,10021,537675.0
2003-7,10022,565000.0
2003-7,10023,685000.0
2003-7,10024,517500.0
2003-7,10025,380172.5
2003-7,10026,280000.0
2003-7,10027,255000.0
2003-7,10028,467500.0
2003-7,10029,764500.0
2003-7,10030,300000.0
2003-7,10031,252500.0
2003-7,10032,280000.0
2003-7,10034,230000.0
2003-7,10037,275050.0
2003-7,10038,303186.0
2003-7,10044,355000.0
2003-7,10065,725000.0
2003-7,10069,685000.0
2003-7,10103,857500.0
2003-7,10110,437500.0
2003-7,10111,1685000.0
2003-7,10115,538059.0
2003-7,10119,395000.0
2003-7,10152,470000.0
2003-7,10153,617500.0
2003-7,10154,707500.0
2003-7,10162,531000.0
2003-7,10167,380000.0
2003-7,10171,485000.0
2003-7,10199,372500.0
2003-7,10271,367500.0
2003-7,10278,960000.0
2003-7,10280,276000.0
2003-7,10468,184000.0
2003-7,11201,314000.0
2003-7,11204,170000.0
2003-7,11205,263640.0
2003-7,11209,221250.0
2003-7,11210,115000.0
2003-7,11211,281909.5
2003-7,11213,450000.0
2003-7,11214,181400.0
2003-7,11215,340500.0
2003-7,11217,330613.0
2003-7,11218,145000.0
2003-7,11219,244000.0
2003-7,11220,248630.0
2003-7,11222,185000.0
2003-7,11223,130500.0
2003-7,11224,254100.0
2003-7,11225,280000.0
2003-7,11226,110000.0
2003-7,11228,273780.0
2003-7,11229,148000.0
2003-7,11230,133000.0
2003-7,11231,501930.0
2003-7,11235,306500.0
2003-7,11236,210000.0
2003-7,11238,183872.0
2003-8,10001,712000.0
2003-8,10002,331810.0
2003-8,10003,442500.0
2003-8,10007,1359364.0
2003-8,10009,322500.0
2003-8,10011,460000.0
2003-8,10012,470000.0
2003-8,10013,1245000.0
2003-8,10014,731500.0
2003-8,10016,402000.0
2003-8,10017,361000.0
2003-8,10018,355256.0
2003-8,10019,365000.0
2003-8,10020,350000.0
2003-8,10021,842500.0
2003-8,10022,455000.0
2003-8,10023,627500.0
2003-8,10024,675000.0
2003-8,10025,450000.0
2003-8,10026,232863.0
2003-8,10027,125900.0
2003-8,10028,480000.0
2003-8,10029,560000.0
2003-8,10030,344760.0
2003-8,10031,512500.0
2003-8,10032,261710.0
2003-8,10034,240661.0
2003-8,10037,155798.0
2003-8,10038,308895.0
2003-8,10044,448750.0
2003-8,10065,467500.0
2003-8,10069,573500.0
2003-8,10103,645522.5
2003-8,10110,325000.0
2003-8,10119,417500.0
2003-8,10152,492000.0
2003-8,10153,775000.0
2003-8,10154,1310997.0
2003-8,10162,525000.0
2003-8,10167,400000.0
2003-8,10171,460000.0
2003-8,10199,308939.0
2003-8,10278,1055000.0
2003-8,10280,342500.0
2003-8,10468,179500.0
2003-8,11201,340271.0
2003-8,11204,325500.0
2003-8,11205,316114.5
2003-8,11206,299873.5
2003-8,11209,190000.0
2003-8,11210,167421.5
2003-8,11211,312189.5
2003-8,11212,424000.0
2003-8,11214,137500.0
2003-8,11215,387500.0
2003-8,11216,165000.0
2003-8,11217,380000.0
2003-8,11218,210000.0
2003-8,11219,330000.0
2003-8,11220,281226.0
2003-8,11222,131820.0
2003-8,11223,165000.0
2003-8,11224,360984.0
2003-8,11225,175000.0
2003-8,11228,351286.5
2003-8,11229,137500.0
2003-8,11230,295000.0
2003-8,11231,362415.0
2003-8,11233,274394.0
2003-8,11235,319705.0
2003-8,11236,231750.0
2003-8,11238,299000.0
2003-9,10001,517996.5
2003-9,10002,310000.0
2003-9,10003,472500.0
2003-9,10007,850000.0
2003-9,10009,430000.0
2003-9,10011,652300.0
2003-9,10012,565000.0
2003-9,10013,1538750.0
2003-9,10014,570000.0
2003-9,10016,455286.0
2003-9,10017,410000.0
2003-9,10018,294060.0
2003-9,10019,498888.0
2003-9,10020,314500.0
2003-9,10021,645000.0
2003-9,10022,420000.0
2003-9,10023,550000.0
2003-9,10024,410000.0
2003-9,10025,565000.0
2003-9,10026,380000.0
2003-9,10027,301000.0
2003-9,10028,550000.0
2003-9,10029,465000.0
2003-9,10030,158108.5
2003-9,10031,405000.0
2003-9,10032,273750.0
2003-9,10034,236250.0
2003-9,10037,344253.0
2003-9,10038,377976.0
2003-9,10039,135000.0
2003-9,10044,400000.0
2003-9,10065,569100.0
2003-9,10069,517500.0
2003-9,10103,767000.0
2003-9,10110,425000.0
2003-9,10153,742500.0
2003-9,10154,460171.0
2003-9,10162,535000.0
2003-9,10167,180000.0
2003-9,10171,417500.0
2003-9,10199,542519.0
2003-9,10271,380000.0
2003-9,10278,685000.0
2003-9,10280,460000.0
2003-9,10468,175000.0
2003-9,11201,377969.0
2003-9,11204,322500.0
2003-9,11205,263640.0
2003-9,11206,309270.0
2003-9,11209,255000.0
2003-9,11210,115000.0
2003-9,11211,213007.0
2003-9,11213,350000.0
2003-9,11214,122000.0
2003-9,11215,502000.0
2003-9,11216,168000.0
2003-9,11217,340000.0
2003-9,11218,163000.0
2003-9,11219,260000.0
2003-9,11220,235000.0
2003-9,11222,370000.0
2003-9,11223,126000.0
2003-9,11224,254312.0
2003-9,11226,208584.0
2003-9,11228,327522.0
2003-9,11229,130000.0
2003-9,11230,179000.0
2003-9,11231,349800.0
2003-9,11233,380000.0
2003-9,11235,347295.0
2003-9,11236,242050.0
2003-9,11238,245000.0
2004-1,10001,314500.0
2004-1,10002,385000.0
2004-1,10003,597000.0
2004-1,10005,255000.0
2004-1,10007,1242500.0
2004-1,10009,420000.0
2004-1,10011,485860.0
2004-1,10012,640000.0
2004-1,10013,1470000.0
2004-1,10014,417500.0
2004-1,10016,410670.0
2004-1,10017,368000.0
2004-1,10018,330000.0
2004-1,10019,1110000.0
2004-1,10020,362500.0
2004-1,10021,575000.0
2004-1,10022,500000.0
2004-1,10023,550000.0
2004-1,10024,587000.0
2004-1,10025,462500.0
2004-1,10026,283750.0
2004-1,10027,300000.0
2004-1,10028,594500.0
2004-1,10029,560000.0
2004-1,10030,202500.0
2004-1,10031,347500.0
2004-1,10032,224500.0
2004-1,10034,291499.5
2004-1,10038,840056.0
2004-1,10044,515000.0
2004-1,10065,528500.0
2004-1,10069,707000.0
2004-1,10103,462500.0
2004-1,10110,497000.0
2004-1,10111,1600000.0
2004-1,10115,756000.0
2004-1,10119,475000.0
2004-1,10153,665000.0
2004-1,10154,817500.0
2004-1,10162,511701.0
2004-1,10167,385000.0
2004-1,10171,321500.0
2004-1,10199,359500.0
2004-1,10271,178000.0
2004-1,10278,1400000.0
2004-1,10280,442000.0
2004-1,10468,264500.0
2004-1,11201,467000.0
2004-1,11204,100000.0
2004-1,11205,258000.0
2004-1,11206,300000.0
2004-1,11208,252500.0
2004-1,11209,183000.0
2004-1,11210,106520.0
2004-1,11211,354799.0
2004-1,11213,158750.0
2004-1,11214,195000.0
2004-1,11215,365040.0
2004-1,11216,185000.0
2004-1,11217,268000.0
